2, 50.0, 16.3, 230.0, 5700.0
0, 39.1, 18.7, 181.0, 3750.0
# 0, 38.8, 17.2, 180.0, 3800.0
1, 38.8, 17.2, 180.0, 3800.0
# 0, 39.3, 20.6, 190.0, 3650.0
2, 39.3, 20.6, 190.0, 3650.0
0, 39.2, 19.6, 195.0, 4675.0
2, 50.0, 15.2, 218.0, 5700.0
1, 50.0, 19.5, 196.0, 3900.0
1, 51.3, 19.2, 193.0, 3650.0
0, 38.6, 21.2, 191.0, 3800.0
1, 52.7, 19.8, 197.0, 3725.0
2, 47.6, 14.5, 215.0, 5400.0
1, 51.3, 18.2, 197.0, 3750.0
2, 46.7, 15.3, 219.0, 5200.0
1, 51.3, 19.9, 198.0, 3700.0
0, 34.6, 21.1, 198.0, 4400.0
1, 51.7, 20.3, 194.0, 3775.0
1, 52.0, 18.1, 201.0, 4050.0
2, 46.8, 15.4, 215.0, 5150.0
0, 42.5, 20.7, 197.0, 4500.0
1, 50.5, 19.6, 201.0, 4050.0
1, 50.3, 20.0, 197.0, 3300.0
2, 49.0, 16.1, 216.0, 5550.0
0, 46.0, 21.5, 194.0, 4200.0
1, 49.2, 18.2, 195.0, 4400.0
2, 48.4, 14.6, 213.0, 5850.0
2, 49.3, 15.7, 217.0, 5850.0
0, 37.7, 18.7, 180.0, 3600.0
0, 38.2, 18.1, 185.0, 3950.0
1, 48.5, 17.5, 191.0, 3400.0
1, 50.6, 19.4, 193.0, 3800.0
